1058	Rheinland-Pfälzische Tech Univ Kaiserslautern-Landau	70018	1916	151	0.079
1059	Univ Windsor	375	1913	184	0.096
1060	Democritus Univ Thrace	367	1907	165	0.086
1061	Southwestern Univ Finance & Econ	18708	1902	309	0.162
1062	Selçuk Univ	739	1901	140	0.074
1063	Natl Inst Technol Raipur	34003	1899	152	0.08
1064	Baylor Univ	3517	1898	159	0.084
1065	Taibah Univ	53914	1898	165	0.087
1066	N Dakota State Univ	3470	1897	174	0.092
1067	Fed Univ Lavras	1494	1892	104	0.055
1068	Vita-Salute San Raffaele Univ	818	1889	279	0.147
1069	Soonchunhyang Univ	101154	1889	146	0.077
1070	State Univ Malang	55392	1887	49	0.026
1071	Nottingham Trent Univ	336	1886	244	0.129
1072	Inje Univ	9726	1880	111	0.059
1073	Natl Kaohsiung Univ Sci & Technol	53041	1879	175	0.093
1074	Poznań Univ Life Sci	964	1877	170	0.091
1075	Shanmugha Arts Sci Technol & Res Acad	18091	1874	133	0.071
1076	Gandhi Inst Technol & Mngmt	55368	1871	87	0.046
1077	Univ Texas - El Paso	1557	1870	120	0.064
1078	Med Univ Gdańsk	960	1868	177	0.095
1079	Natl Inst Technol Patna	34002	1866	184	0.098
1080	Miguel Hernández Univ	998	1864	155	0.083
1081	Tata Inst Fund Res	2457	1860	122	0.066
1082	Dr B R Ambedkar Natl Inst Technol Jalandhar	52993	1859	162	0.087
1083	Uniformed Services Univ Hlth Sci	3498	1859	149	0.08
1084	Zhejiang Ocean Univ	18709	1858	216	0.116
1085	Anhui Normal Univ	3404	1858	135	0.072
1086	Natl Inst Mental Hlth & Neurosci	2485	1857	78	0.042
1087	Tun Hussein Onn Univ Malaysia	54825	1854	109	0.059
1088	Gifu Univ	1093	1853	89	0.048
1089	Jouf Univ	53880	1851	254	0.137
1090	Natl Inst Technol Calicut	34001	1851	96	0.052
1091	Shanghai Inst Technol	18029	1850	138	0.075
1092	Carl von Ossietzky Univ Oldenburg	261	1848	147	0.08
1093	Univ Wyoming	3456	1844	160	0.087
1094	Univ Graz	6	1843	212	0.115
1095	Univ Petrol & Energy Stud	53887	1842	184	0.1
1096	Luleå Univ Technol	678	1839	212	0.115
1097	Univ Luebeck	878	1837	190	0.103
1098	Univ Greifswald	239	1836	178	0.097
1099	Univ Yaoundé I	9752	1835	72	0.039
1100	Bahir Dar Univ	52991	1835	190	0.103
1101	Univ Konstanz	253	1833	229	0.125
1102	Tilburg Univ	491	1828	233	0.128
1103	Samsun Ondokuz Mayıs Univ	747	1827	119	0.065
1104	Jiangxi Agr Univ	18704	1823	200	0.11
1105	Univ A Coruña	641	1822	126	0.069
1106	Kerman Univ Med Sci	18792	1821	164	0.09
1107	Kermanshah Univ Med Sci	18793	1819	194	0.107
1108	Beni-Suef Univ	18115	1819	175	0.096
1109	Univ Med & Pharma Carol Davila Bucharest	976	1819	210	0.116
1110	Sakarya Univ	706	1818	150	0.083
1111	Jiangsu Normal Univ	10336	1816	196	0.108
1112	Missouri Univ Sci & Technol	3495	1815	179	0.099
1113	Univ Jaén	640	1808	200	0.11
1114	Univ Dhaka	18690	1807	189	0.105
