73	Qingdao University	青岛大学	中国
73	Southwest Jiaotong University	西南交通大学	中国
75	New York University	纽约大学	美国
76	Beijing University of Posts and Telecommunications	北京邮电大学	中国
77	Beijing Jiaotong University	北京交通大学	中国
78	University of Illinois Urbana-Champaign	伊利诺伊大学厄巴纳-香槟分校	美国
79	Nanjing University of Information Science and Technology	南京信息工程大学	中国
80	Dalian Maritime University	大连海事大学	中国
81	Korea University	高丽大学	韩国
82	Korea Advanced Institute of Science and Technology	韩国科学技术院	韩国
83	Griffith University	格里菲斯大学	澳大利亚
84	Chengdu University	成都大学	中国
85	Guangdong University of Technology	广东工业大学	中国
86	KU Leuven	鲁汶天主教大学 (荷兰语)	比利时
87	Shanghai University	上海大学	中国
87	Southwest University	西南大学	中国
89	Hangzhou Dianzi University	杭州电子科技大学	中国
90	University of California, Los Angeles	加州大学洛杉矶分校	美国
91	Anhui University	安徽大学	中国
91	Macau University of Science and Technology	澳门科技大学	中国澳门特别行政区
93	Georgia Institute of Technology	佐治亚理工学院	美国
94	Michigan State University	密歇根州立大学	美国
94	Swinburne University of Technology	斯威本科技大学	澳大利亚
96	De Montfort University	德蒙福特大学	英国
96	UNSW Sydney	新南威尔士大学	澳大利亚
98	Nanjing University of Posts and Telecommunications	南京邮电大学	中国
99	Southwestern University of Finance and Economics	西南财经大学	中国
100	University of California San Diego	圣迭戈加利福尼亚大学	美国
101	Deakin University	迪肯大学	澳大利亚
101	University of Michigan	密歇根大学	美国
103	University of British Columbia	不列颠哥伦比亚大学	加拿大
104	University of Tehran	德黑兰大学	伊朗
105	University of Edinburgh	爱丁堡大学	英国
106	University of Leicester	莱斯特大学	英国
107	Islamic Azad University, Arak	阿扎德伊斯兰大学阿拉克分校	伊朗
107	The University of Queensland	昆士兰大学	澳大利亚
109	Jilin University	吉林大学	中国
109	Yeungnam University	岭南大学	韩国
111	Zhejiang Normal University	浙江师范大学	中国
112	The University of Texas at Austin	得克萨斯大学奥斯汀分校	美国
113	China University of Mining and Technology	中国矿业大学	中国
114	Renmin University of China	中国人民大学	中国
115	University of Science and Technology Beijing	北京科技大学	中国
116	École Polytechnique Fédérale de Lausanne	洛桑联邦理工学院	瑞士
117	University of Waterloo	滑铁卢大学	加拿大
118	King's College London	伦敦国王学院	英国
119	Nantong University	南通大学	中国
120	Macquarie University	麦考瑞大学	澳大利亚
121	East China Normal University	华东师范大学	中国
122	Mansoura University	曼苏拉大学	埃及
123	Chongqing University of Posts and Telecommunications	重庆邮电大学	中国
124	Sejong University	世宗大学	韩国
125	Shandong Normal University	山东师范大学	中国
126	Hong Kong Baptist University	香港浸会大学	中国香港特别行政区
127	Brunel University of London	布鲁内尔大学	英国
127	Columbia University	哥伦比亚大学	美国
129	Zagazig University	扎加齐克大学	埃及
130	Beijing University of Technology	北京工业大学	中国
130	Cornell University	康奈尔大学	美国
130	Institut Polytechnique de Paris	巴黎理工学院	法国
133	RMIT University	皇家墨尔本理工大学	澳大利亚
134	Guangzhou University	广州大学	中国
135	Liaocheng University	聊城大学	中国
136	Shanghai Maritime University	上海海事大学	中国
137	Delft University of Technology	代尔夫特理工大学	荷兰
138	Purdue University West Lafayette	普渡大学	美国
138	University of Amsterdam	阿姆斯特丹大学	荷兰
138	University of Trento	特伦托大学	意大利
141	Wuhan University of Technology	武汉理工大学	中国
142	University of Maryland, College Park	马里兰大学科利奇帕克分校	美国
143	East China University of Science and Technology	华东理工大学	中国
143	University of Southern California	南加州大学	美国
145	Texas A&M University	得克萨斯农工大学	美国
146	Northeastern University	东北大学	美国
146	The University of Tokyo	东京大学	日本
148	Yuan Ze University	元智大学	中国台湾
149	Jiangnan University	江南大学	中国
150	Jiangsu University	江苏大学	中国
151	Qufu Normal University	曲阜师范大学	中国
151	Zhengzhou University	郑州大学	中国
153	Qatar University	卡塔尔大学	卡塔尔
154	The University of Melbourne	墨尔本大学	澳大利亚
155	Fuzhou University	福州大学	中国
156	China University of Petroleum, East China	中国石油大学	中国
156	Liaoning University of Technology	辽宁工业大学	中国
158	Queen Mary University of London	伦敦玛丽女王大学	英国
159	University of Pennsylvania	宾夕法尼亚大学	美国
160	Université de Montréal	蒙特利尔大学	加拿大
161	Université Paris-Saclay	巴黎-萨克雷大学	法国
162	Asia University	亞洲大學	中国台湾
163	Vellore Institute of Technology University	韦洛尔科技大学	印度
164	Queensland University of Technology	昆士兰科技大学	澳大利亚
165	Universiti Sains Malaysia	马来西亚理科大学	马来西亚
166	Anhui University of Technology	安徽工业大学	中国
167	Hohai University	河海大学	中国
167	Shandong University of Science and Technology	山东科技大学	中国
169	Victoria University of Wellington	惠灵顿维多利亚大学	新西兰
170	Aalto University	阿尔托大学	芬兰
171	Politecnico di Milano	米兰理工大学	意大利
171	Qilu University of Technology	齐鲁工业大学	中国
173	King Saud University	沙特国王大学	沙特阿拉伯
174	University of Warwick	华威大学	英国
175	Guizhou University	贵州大学	中国
176	Beijing Normal University	北京师范大学	中国
177	University of Liverpool	利物浦大学	英国
178	COMSATS University Islamabad	伊斯兰堡COMSATS大学	巴基斯坦
178	Sorbonne Université	索邦大学	法国
180	Zhejiang University of Technology	浙江工业大学	中国
181	Istinye University	伊斯蒂尼耶大学	土耳其
181	University of Shanghai for Science and Technology	上海理工大学	中国
183	Jinan University	暨南大学	中国
183	Ocean University of China	中国海洋大学	中国
183	Seoul National University	首尔大学	韩国
183	University of Birmingham	伯明翰大学	英国
183	University of Manchester	曼彻斯特大学	英国
188	Sapienza University of Rome	罗马大学	意大利
189	Sungkyunkwan University	成均馆大学	韩国
190	Hanyang University	汉阳大學	韩国
191	Shanxi University	山西大学	中国
191	Soochow University	苏州大学	中国
191	University of the Basque Country	巴斯克大学	西班牙
194	Thapar Institute of Engineering & Technology	塔帕尔大学	印度
195	University of Nottingham	诺丁汉大学	英国
196	Pennsylvania State University	宾夕法尼亚州立大学	美国
197	Harbin Engineering University	哈尔滨工程大学	中国
198	Université Grenoble Alpes	格勒诺布尔大学	法国
