464	University of Massachusetts--Worcester	马萨诸塞大学伍斯特分校	美国
465	University of Nantes	南特大学	法国
466	Boğaziçi University	博阿兹奇大学	土耳其
467	Universite de Lorraine	洛林大学	法国
468	University of Catania	卡塔尼亚大学	意大利
469	University of Delaware	特拉华大学	美国
470	Wayne State University	韦恩州立大学	美国
471	Donghua University	东华大学	中国内地
472	George Mason University	乔治梅森大学	美国
473	University of Manitoba	曼尼托巴大学	加拿大
474	University of New Mexico	新墨西哥大学	美国
475	University of Tsukuba	筑波大学	日本
476	Hannover Medical School	汉诺威医学院	德国
477	Southwest University - China	西南大学	中国内地
478	Victoria University of Wellington	惠灵顿维多利亚大学	新西兰
479	Medical University of Innsbruck	因斯布鲁克医科大学	奥地利
480	Nanjing University of Information Science and Technology	南京信息工程大学	中国内地
481	University of Lahore	拉合尔大学	巴基斯坦
482	Beijing University of Technology	北京工业大学	中国内地
483	Nanjing Normal University	南京师范大学	中国内地
484	Syracuse University	锡拉丘兹大学	美国
485	University of Hawaii--Manoa	夏威夷大学马诺阿分校	美国
486	University of Strathclyde	斯特拉斯克莱德大学	英国
487	Hamad Bin Khalifa University	哈马德·本·哈利法大学	卡塔尔
488	Federal University of Rio de Janeiro	里约热内卢联邦大学	巴西
489	Florida International University	佛罗里达国际大学	美国
490	Princess Nourah bint Abdulrahman University	努拉公主大学	沙特阿拉伯
491	Boston College	波士顿学院	美国
492	Chulalongkorn University	朱拉隆功大学	泰国
493	University of Ljubljana	卢布尔雅那大学	斯洛文尼亚
494	Federal University of Minas Gerais	米纳斯吉拉斯联邦大学	巴西
495	Loughborough University	拉夫堡大学	英国
496	Southern Medical University - China	南方医科大学	中国内地
497	Sechenov First Moscow State Medical University	谢切诺夫第一莫斯科国立医科大学	俄罗斯
498	South Ural State University	南乌拉尔国立大学	俄罗斯
499	Southwest Jiaotong University	西南交通大学	中国内地
500	Sunway University	双威大学	马来西亚
