43	The London School of Economics and Political Science	伦敦政治经济学院	英国
44	University of Sydney	悉尼大学	澳大利亚
45	Johannes Gutenberg University Mainz	美因茨大学	德国
46	Erasmus University Rotterdam	鹿特丹伊拉斯谟大学	荷兰
47	University of North Carolina at Chapel Hill	北卡罗来纳大学教堂山分校	美国
48	University of Toronto	多伦多大学	加拿大
49	Cornell University	康奈尔大学	美国
49	Washington State University	华盛顿州立大学	美国
51-75	Clemson University	克莱姆森大学	美国
51-75	Ghent University	根特大学	比利时
51-75	Monash University	莫纳什大学	澳大利亚
51-75	New York University	纽约大学	美国
51-75	Oslo Metropolitan University	奥斯陆城市大学	挪威
51-75	Pompeu Fabra University	庞培法布拉大学	西班牙
51-75	Queensland University of Technology	昆士兰科技大学	澳大利亚
51-75	RMIT University	皇家墨尔本理工大学	澳大利亚
51-75	Shanghai Jiao Tong University	上海交通大学	中国
51-75	Stanford University	斯坦福大学	美国
51-75	Texas Tech University	得克萨斯理工大学	美国
51-75	The University of Alabama, Tuscaloosa	阿拉巴马大学	美国
51-75	The University of New South Wales	新南威尔士大学	澳大利亚
51-75	Tsinghua University	清华大学	中国
51-75	University of Antwerp	安特卫普大学	比利时
51-75	University of Gothenburg	哥德堡大学	瑞典
51-75	University of Haifa	海法大学	以色列
51-75	University of Kentucky	肯塔基大学	美国
51-75	University of Liverpool	利物浦大学	英国
51-75	University of Mannheim	曼海姆大学	德国
51-75	University of Nebraska, Lincoln	内布拉斯加大学林肯分校	美国
51-75	University of South Carolina, Columbia	南卡罗来纳大学	美国
51-75	University of South Florida	南佛罗里达大学	美国
51-75	University of Washington	华盛顿大学	美国
51-75	Utrecht University	乌得勒支大学	荷兰
76-100	Arizona State University	亚利桑那州立大学	美国
76-100	Deakin University	迪肯大学	澳大利亚
76-100	Fudan University	复旦大学	中国
76-100	King's College London	伦敦国王学院	英国
76-100	Masaryk University	马萨里克大学	捷克
76-100	Massey University	梅西大学	新西兰
76-100	Northumbria University	诺森比亚大学	英国
76-100	Purdue University, West Lafayette	普渡大学	美国
76-100	Seoul National University	首尔国立大学	韩国
76-100	Stellenbosch University	斯泰伦博斯大学	南非
76-100	Syracuse University	雪城大学	美国
76-100	The University of Queensland	昆士兰大学	澳大利亚
76-100	The University of Warwick	华威大学	英国
76-100	University of Copenhagen	哥本哈根大学	丹麦
76-100	University of Glasgow	格拉斯哥大学	英国
76-100	University of Helsinki	赫尔辛基大学	芬兰
76-100	University of Kansas	堪萨斯大学	美国
76-100	University of Leipzig	莱比锡大学	德国
76-100	University of Maryland, College Park	马里兰大学帕克分校	美国
