201-250	University of Padua	帕多瓦大学	意大利	56.4-58.6
201-250	University of Potsdam	波茨坦大学	德国	56.4-58.6
201-250	University of Reading	雷丁大学	英国	56.4-58.6
201-250	University of São Paulo	圣保罗大学	巴西	56.4-58.6
201-250	University of Surrey	萨里大学	英国	56.4-58.6
201-250	University of Sussex	萨塞克斯大学	英国	56.4-58.6
201-250	University of Utah	犹他大学	美国	56.4-58.6
201-250	University of Wollongong	伍伦贡大学	澳大利亚	56.4-58.6
201-250	Vrije Universiteit Brussel	弗拉芒布鲁塞尔自由大学	比利时	56.4-58.6
201-250	Western University	韦仕敦大学	加拿大	56.4-58.6
201-250	Xi’an Jiaotong University	西安交通大学	中国内地	56.4-58.6
251-300	Aalborg University	奥尔堡大学	丹麦	54.3-56.3
251-300	Beihang University	北京航空航天大学	中国内地	54.3-56.3
251-300	Boston College	波士顿学院	美国	54.3-56.3
251-300	Central European University	中欧大学	奥地利	54.3-56.3
251-300	Central South University	中南大学	中国内地	54.3-56.3
251-300	Curtin University	科廷大学	澳大利亚	54.3-56.3
251-300	East China Normal University	华东师范大学	中国内地	54.3-56.3
251-300	Griffith University	格里菲斯大学	澳大利亚	54.3-56.3
251-300	Hanyang University	汉阳大学	韩国	54.3-56.3
251-300	Hebrew University of Jerusalem	耶路撒冷希伯来大学	以色列	54.3-56.3
251-300	Heinrich Heine University Düsseldorf	杜塞尔多夫大学	德国	54.3-56.3
251-300	Humanitas University	Humanitas大学（米兰）	意大利	54.3-56.3
251-300	Hunan University	湖南大学	中国内地	54.3-56.3
251-300	King Khalid University	哈立德国王大学	沙特阿拉伯	54.3-56.3
251-300	King Saud University	沙特国王大学	沙特阿拉伯	54.3-56.3
251-300	Kyung Hee University	庆熙大学	韩国	54.3-56.3
251-300	La Trobe University	乐卓博大学	澳大利亚	54.3-56.3
251-300	Lebanese American University	黎巴嫩美国大学	黎巴嫩	54.3-56.3
251-300	LUT University	LUT大学（芬兰）	芬兰	54.3-56.3
251-300	Macau University of Science and Technology	澳门科技大学	中国澳门	54.3-56.3
251-300	Nankai University	南开大学	中国内地	54.3-56.3
251-300	Northwestern Polytechnical University	西北工业大学	中国内地	54.3-56.3
251-300	RCSI University of Medicine and Health Sciences	爱尔兰皇家外科医学院	爱尔兰	54.3-56.3
251-300	RMIT University	皇家墨尔本理工大学	澳大利亚	54.3-56.3
251-300	Ruhr University Bochum	波鸿鲁尔大学	德国	54.3-56.3
251-300	Sejong University	世宗大学	韩国	54.3-56.3
251-300	Semmelweis University	塞麦尔维斯大学	匈牙利	54.3-56.3
251-300	Shandong University	山东大学	中国内地	54.3-56.3
251-300	South China University of Technology	华南理工大学	中国内地	54.3-56.3
251-300	Southeast University	东南大学	中国内地	54.3-56.3
251-300	Southern Medical University	南方医科大学	中国内地	54.3-56.3
251-300	Swinburne University of Technology	斯威本科技大学	澳大利亚	54.3-56.3
251-300	Technical University of Darmstadt	达姆施塔特工业大学	德国	54.3-56.3
251-300	Ulm University	乌尔姆大学	德国	54.3-56.3
251-300	Università Cattolica del Sacro Cuore	天主教圣心大学	意大利	54.3-56.3
251-300	Università della Svizzera italiana	瑞士意大利语区大学	瑞士	54.3-56.3
251-300	University of Bath	巴斯大学	英国	54.3-56.3
251-300	University of Bergen	卑尔根大学	挪威	54.3-56.3
251-300	University of East Anglia	东安格利亚大学	英国	54.3-56.3
251-300	University of Hawai’i at Mānoa	夏威夷大学马诺阿分校	美国	54.3-56.3
251-300	University of Konstanz	康斯坦茨大学	德国	54.3-56.3
251-300	University of Luxembourg	卢森堡大学	卢森堡	54.3-56.3
251-300	University of Navarra	纳瓦拉大学	西班牙	54.3-56.3
251-300	University of Newcastle	纽卡斯尔大学（澳大利亚）	澳大利亚	54.3-56.3
251-300	University of Oulu	奥卢大学	芬兰	54.3-56.3
251-300	University of Southern Denmark	南丹麦大学	丹麦	54.3-56.3
251-300	University of Stuttgart	斯图加特大学	德国	54.3-56.3
251-300	University of Tasmania	塔斯马尼亚大学	澳大利亚	54.3-56.3
251-300	Virginia Polytechnic Institute and State University	弗吉尼亚理工大学	美国	54.3-56.3
251-300	Vita-Salute San Raffaele University	圣拉斐尔生命健康大学	意大利	54.3-56.3
251-300	Xiamen University	厦门大学	中国内地	54.3-56.3
