135	National Institute for Nuclear Physics (INFN)	Italy	183.72	893.0
136	University of California, Irvine (UCI)	United States of America (USA)	182.78	618.0
137	Northeastern University (NEU)	China	181.87	342.0
138	Lawrence Berkeley National Laboratory (LBNL)	United States of America (USA)	181.56	886.0
139	Ludwig Maximilians University of Munich (LMU)	Germany	181.43	973.0
140	Hohai University (HHU)	China	180.66	366.0
141	The University of Texas Southwestern Medical Center (UT Southwestern Medical Center)	United States of America (USA)	180.56	561.0
142	ShanghaiTech University	China	180.26	596.0
143	Qingdao University (QU)	China	179.21	376.0
144	The University of Queensland (UQ)	Australia	178.74	746.0
145	University of Zurich (UZH)	Switzerland	178.45	848.0
146	Yonsei University	South Korea	176.75	665.0
147	Vanderbilt University (VU)	United States of America (USA)	175.26	869.0
148	South China Normal University (SCNU)	China	173.34	665.0
149	Catholic University of Leuven (KU Leuven)	Belgium	173.1	635.0
150	China Agricultural University (CAU)	China	171.97	450.0
151	Zhejiang University of Technology (ZJUT)	China	171.48	427.0
152	Mayo Clinic	United States of America (USA)	171.14	586.0
153	University of New South Wales (UNSW Sydney)	Australia	170.95	744.0
154	Henan University (HENU)	China	170.91	588.0
155	The University of Melbourne (UniMelb)	Australia	168.97	923.0
156	Weizmann Institute of Science (WIS)	Israel	168.86	431.0
157	The University of Manchester (UoM)	United Kingdom (UK)	167.49	820.0
158	Anhui University (AHU)	China	167.27	412.0
159	Beijing University of Technology (BJUT)	China	165.93	382.0
160	Aarhus University (AU)	Denmark	165.79	577.0
161	Sungkyunkwan University (SKKU)	South Korea	165.22	658.0
162	Utrecht University (UU)	Netherlands	165.16	819.0
163	Karolinska Institute (KI)	Sweden	164.51	820.0
164	Nanjing Normal University (NNU)	China	163.52	647.0
165	Northeast Normal University (NENU)	China	161.77	291.0
166	University of Alberta (U of A)	Canada	159.41	535.0
167	Boston University (BU)	United States of America (USA)	157.69	918.0
168	Institute of Science Tokyo (Science Tokyo)	Japan	157.45	496.0
169	RIKEN	Japan	156.38	708.0
170	Guizhou University (GZU)	China	156.05	365.0
171	Indiana University (IU)	United States of America (USA)	155.85	785.0
172	Heidelberg University (Uni Heidelberg)	Germany	154.86	850.0
173	The University of Utah (Utah)	United States of America (USA)	153.9	599.0
174	King Abdullah University of Science and Technology (KAUST)	Saudi Arabia	152.45	382.0
175	Shaanxi Normal University (SNNU)	China	152.05	259.0
176	Mount Sinai Health System (MSHS)	United States of America (USA)	150.53	731.0
177	University of Maryland (UMD)	United States of America (USA)	150.13	895.0
178	National Taiwan University (NTU)	Taiwan	148.31	532.0
179	Southern Medical University (SMU)	China	147.92	456.0
180	Hefei University of Technology (HFUT)	China	146.7	308.0
181	Korea University	South Korea	146.68	626.0
182	The University of Sydney (USYD)	Australia	145.95	755.0
